nl-product-card__no-button href,nl-product-card__title,nl-product__brand--bold,nl-product-card__image-wrap src,nl-price--total,nl-price--now,nl-price--each,bv_text,bv_text (2),bv-off-screen,nl-tag,nl-tag (2),nl-product__code,nl-rebate-header,nl-product-card__atc-button-label,nl-price--total--red,nl-price--was,nl-price--was (2),nl-price--was (3),sr-only,nl-product-card__urgent-low-stock,nl-checkbox__text,nl-product-card__availability-message,nl-price--now (2),nl-product-card__show-colour,nl-tag src,nl-price--each (2),nl-product-card__link-text,nl-product-card__title (2),nl-product-card__title (3),nl-rebate__grey-copy-msg--link href,nl-rebate__grey-copy-msg--link,lazyload src
https://www.canadiantire.ca/fr/pdp/pneu-toute-saison-michelin-defender-2-pour-vehicules-de-tourisme-et-multisegments-5081008p.html,Pneu toute-saison Michelin Defender 2 pour véhicules de tourisme et multisegments,Michelin,https://media-www.canadiantire.ca/product/automotive/tires/all-season-tires/0074935/225-65r17-michelin-defender-2-c5b183e3-99bd-4fb0-933b-cd631eeb6717-jpgrendition.jpg?im=whresize&wid=200&hei=200,"262,99 $",et+,chaque,4.7,(1070),4.7 étoile(s) sur 5. 1070 évaluations,Liquidation◊,Rabais instantané,#006-3080X,Rabais instantané de 85 $ à l'achat de 4 pneus.,Options,,,,,,,,,,,,,,,,,,
https://www.canadiantire.ca/fr/pdp/fauteuil-de-salle-a-manger-de-jardin-d-exterieur-en-osier-canvas-jasper-toute-saison-paq-2-1880272p.html,"Fauteuil de salle à manger de jardin/d'extérieur en osier CANVAS Jasper, toute saison, paq. 2",CANVAS,https://media-www.canadiantire.ca/product/seasonal-gardening/backyard-living/outdoor-furniture/1880272/canvas-jasper-dining-chair-2pk-2a5479fd-5f27-4f3d-85e2-8b4b9fa230c9-jpgrendition.jpg?im=whresize&wid=200&hei=200,,Maintenant,,3.5,(12),3.5 étoile(s) sur 5. 12 évaluations,Liquidation◊,Exclusivité,#188-0272-6,,Ajouter,"299,93 $",Était±,±,"499,99 $","prix était 499,99 $",Il n’en reste que 4,Comparer,,,,,,,,,,,
https://www.canadiantire.ca/fr/pdp/chaises-de-salle-a-manger-bois-massif-et-garniture-en-similicuir-canvas-evan-s-creek-paq-2-brun-0689597p.html,"Chaises de salle à manger bois massif et garniture en similicuir CANVAS Evanʼs Creek, paq. 2, brun",CANVAS,https://media-www.canadiantire.ca/product/living/home-decor/furniture/0689597/canvas-evan-s-creek-dining-chair-2-pack-287d3dbe-9c5e-41ca-9ef5-b1b9bb38cc44-jpgrendition.jpg?im=whresize&wid=200&hei=200,,Maintenant,,4.6,(54),4.6 étoile(s) sur 5. 54 évaluations,Liquidation◊,Mieux notés,#068-9597-6,,Ajouter,"159,93 $",Était±,±,"299,99 $","prix était 299,99 $",,Comparer,31 En Stock,,,,,,,,,,
https://www.canadiantire.ca/fr/pdp/chaise-de-salle-a-manger-canvas-minto-noir-1680107p.html,"Chaise de salle à manger CANVAS Minto, noir",CANVAS,https://media-www.canadiantire.ca/product/living/home-decor/furniture/1680107/canvas-minto-dining-chair-black-2349305a-ab0e-40fa-9e1e-605f6260be95.png?im=whresize&wid=200&hei=200,,Maintenant,,4.7,(6),4.7 étoile(s) sur 5. 6 évaluations,Liquidation◊,Mieux notés,#168-0107-0,,Ajouter,"39,93 $",Était±,±,"129,99 $","prix était 129,99 $",Il n’en reste que 1,Comparer,,,,,,,,,,,
https://www.canadiantire.ca/fr/pdp/chaise-de-salle-a-manger-canvas-cornwall-ivoire-1680104p.html,"Chaise de salle à manger CANVAS Cornwall, ivoire",CANVAS,https://media-www.canadiantire.ca/product/living/home-decor/furniture/1680104/canvas-cornwall-dining-chair-ivory-2c97dfa3-c816-4459-9fdd-5621ad0b4aba-jpgrendition.jpg?im=whresize&wid=200&hei=200,,Maintenant,,3.5,(18),3.5 étoile(s) sur 5. 18 évaluations,Liquidation◊,Exclusivité,#168-0104-6,,Ajouter,"49,93 $",Était±,±,"109,99 $","prix était 109,99 $",,Comparer,106 En Stock,,,,,,,,,,
https://www.canadiantire.ca/fr/pdp/pneu-toutes-saisons-michelin-crossclimate-2-pour-vehicules-de-tourisme-et-multisegments-3086342p.html,Pneu toutes saisons Michelin CrossClimate 2 pour véhicules de tourisme et multisegments,Michelin,https://media-www.canadiantire.ca/product/automotive/tires/all-season-tires/3086342/-205-55r16-91h-crossclmate2-a-w-35861--cb4145f5-188f-46fb-a4f4-2faf49974e90-jpgrendition.jpg?im=whresize&wid=200&hei=200,"494,99 $",et+,chaque,4.7,(1645),4.7 étoile(s) sur 5. 1645 évaluations,Liquidation◊,Rabais instantané,#006-3069X,Rabais instantané de 120 $ à l'achat de 4 pneus.,Options,,,,,,,,,,,,,,,,,,
https://www.canadiantire.ca/fr/pdp/fauteuil-de-salle-a-manger-d-exterieur-de-terrasse-canvas-belwood-en-aluminium-et-osier-paq-2-0880541p.html,"Fauteuil de salle à manger d'extérieur/de terrasse CANVAS Belwood en aluminium et osier, paq. 2",CANVAS,https://media-www.canadiantire.ca/product/seasonal-gardening/backyard-living/outdoor-furniture/0880541/canvas-belwood-aluminum-dining-chair-2-pack-de38f891-c44a-49df-a4e2-897c643e77fb-jpgrendition.jpg?im=whresize&wid=200&hei=200,,Maintenant,,0.0,(0),0.0 étoile(s) sur 5.,Liquidation◊,Exclusivité,#088-0541-4,,Ajouter,"349,99 $",Était±,±,"499,99 $","prix était 499,99 $",Il n’en reste que 3,Comparer,,,,,,,,,,,
https://www.canadiantire.ca/fr/pdp/chaise-d-exterieur-empilable-en-plastique-leger-canvas-como-pour-la-terrasse-et-la-salle-a-manger-resistante-a-la-decoloration-et-aux-taches-18-po-1880396p.html,"Chaise d'extérieur empilable en plastique léger CANVAS Como pour la terrasse et la salle à manger. Résistante à la décoloration et aux taches, 18 po",CANVAS,https://media-www.canadiantire.ca/product/seasonal-gardening/backyard-living/outdoor-furniture/1880397/canvas-como-stacking-chair-black-5d68b743-a549-4973-8cf0-faabf4c56fa1-jpgrendition.jpg?im=whresize&wid=200&hei=200,,Maintenant,,3.9,(7),3.9 étoile(s) sur 5. 7 évaluations,Liquidation◊,Exclusivité,#188-0396X,,Options,"19,93 $",Était,,"79,99 $","prix était à partir de 79,99 $",,Comparer,,et+,+ Plus d'options,,,,,,,,
https://www.canadiantire.ca/fr/pdp/pneu-toute-saison-michelin-defender-ltx-m-s-pour-vus-vum-et-camionnettes-4080743p.html,"Pneu toute saison Michelin Defender LTX M/S pour VUS, VUM et camionnettes",Michelin,https://media-www.canadiantire.ca/product/automotive/tires/light-truck-tires/0061086/p235-70r16-defender-ltx-93461cb5-3579-4f98-b3f7-8144fcb4231d-jpgrendition.jpg?im=whresize&wid=200&hei=200,"295,99 $",et+,chaque,4.6,(1429),4.6 étoile(s) sur 5. 1429 évaluations,Liquidation◊,Rabais instantané,#006-1204X,Rabais instantané de 85 $ à l'achat de 4 pneus.,Options,,,,,,,,,,,,,,,,,,
https://www.canadiantire.ca/fr/pdp/grande-baguette-a-bulles-avec-liquide-a-bulles-it-s-bubbles-bleu-4-ans-et-plus-pour-activites-estivales-et-d-exterieur-0506256p.html,"Grande baguette à bulles avec liquide à bulles It's Bubbles!, bleu, 4 ans et plus, pour activités estivales et d'extérieur",It's Bubbles,https://media-www.canadiantire.ca/product/seasonal-gardening/toys/seasonal-toys/0506256/big-bubble-wand-d2f6214d-e96c-4047-93ea-43dc23053c1d-jpgrendition.jpg?im=whresize&wid=200&hei=200,,Maintenant,,4.8,(8),4.8 étoile(s) sur 5. 8 évaluations,Liquidation◊,Mieux notés,#050-6256-6,,Ajouter,"1,93 $",Était±,±,"10,99 $","prix était 10,99 $",,,28 En Stock,,,,,,,,,,
